target	source	value
KIN	San Fernando	1
KIN	Colombo	1
KIN	Jayewardenepura Kotte	1
KIN	Bangkok	1
KIN	Korat	1
KIN	Nonthaburi	1
KIN	Ho Chi Minh City	1
U20	Buenos Aires	1
U20	Beijing	1
U20	Jakarta	1
U20	Osaka	1
U20	Seoul	1
U20	Tokyo	1
OGP	Bojonegoro	1
OGP	Seoul	1
OGP	Cotabato City	1
OGP	Tbilisi	1
DELGOSEA	Makati City	1
DELGOSEA	Xiamen	1
DELGOSEA	Bacolod	1
DELGOSEA	Chiang Rai	1
DELGOSEA	Choam Chao Sangkat	1
DELGOSEA	Da Nang	1
DELGOSEA	Kampot	1
DELGOSEA	Kupang	1
DELGOSEA	Misamis Oriental	1
DELGOSEA	One Pangasinan Alliance OPAL	1
DELGOSEA	Pakkret	1
DELGOSEA	Pangkalpinang	1
DELGOSEA	Songkhla	1
DELGOSEA	Tarakan	1
DELGOSEA	Tra Vinh City	1
DELGOSEA	Vinh City	1
DELGOSEA	Wakatobi	1
DELGOSEA	Yala	1
